T,sxGS,syGS,szGS
0.1933891750455231,-1.7167716669805768e-17,-3.2515369062123225e-17,0.806675336841913
0.2049074689815847,-1.7625625748424907e-17,-3.2953737703851244e-17,0.7952079088527114
0.21711179456945043,-1.8082852010699607e-17,-3.33782344626145e-17,0.7830879248564211
0.2300430119772918,-1.8537513590051188e-17,-3.378966741751333e-17,0.7702922120411951
0.24374441501222205,-1.898764865864282e-17,-3.418867844621657e-17,0.7568021289576065
0.2582618760682676,-1.943125390055012e-17,-3.45757169475176e-17,0.7426051019042912
0.27364399970746706,-1.9866326870703197e-17,-3.4951027424074325e-17,0.72769618330985
0.28994228538828765,-2.0290910582924792e-17,-3.531465126894566e-17,0.7120795148634326
0.30721129988617574,-2.0703138431558692e-17,-3.566644207116212e-17,0.6957695682660899
0.3255088599835058,-2.1101277407942682e-17,-3.6006092765687305e-17,0.6787920413086173
0.3448962260405758,-2.1483767559290085e-17,-3.633317211000848e-17,0.6611843072607323
0.3654383070957256,-2.1849255777999254e-17,-3.66471673677648e-17,0.6429953494148485
0.3872038781812555,-2.2196622310402018e-17,-3.6947529784116044e-17,0.6242851558549971
0.41026581058271927,-2.2524998818416418e-17,-3.723371947192898e-17,0.6051235963236914
0.43470131581250243,-2.283377737520926e-17,-3.7505246671681206e-17,0.5855888471519055
0.4605922041145106,-2.3122610369281593e-17,-3.776170694070253e-17,0.5657654659814476
0.48802515836544313,-2.3391401865691398e-17,-3.8002808580415805e-17,0.5457422414445954
0.5170920242896758,-2.3640291468083488e-17,-3.8228391423198e-17,0.5256099522372988
0.5478901179593942,-2.3869632094764857e-17,-3.8438436877827136e-17,0.5054591655214357
0.5805225516094898,-2.4079963300734148e-17,-3.8633069797262883e-17,0.48537818856864645
0.6150985788580502,-2.4271981841934287e-17,-3.881255323470603e-17,0.465451263467334
0.6517339604882424,-2.444651110401556e-17,-3.897727747267109e-17,0.44575706646296365
0.6905513520162327,-2.460447083526909e-17,-3.912774485051341e-17,0.42636754477455546
0.7316807143427196,-2.4746848368695797e-17,-3.926455190335911e-17,0.4073470975032913
0.7752597488629461,-2.4874672228428323e-17,-3.9388370196062523e-17,0.38875208553883267
0.8214343584919427,-2.4988988723423452e-17,-3.949992702980669e-17,0.37063063919907496
0.8703591361485162,-2.5090841861498098e-17,-3.959998695407073e-17,0.3530227218696436
0.9221978823334328,-2.5181256685849744e-17,-3.968933476438764e-17,0.3359604026562527
0.9771241535346498,-2.5261225952532352e-17,-3.976876042987691e-17,0.3194682901428861
1.0353218432956621,-2.5331699932604016e-17,-3.983904618885699e-17,0.303564081702558
1.0969857978923836,-2.5393579033610038e-17,-3.9900955883434443e-17,0.2882591873741884
1.1623224686798526,-2.5447708885479322e-17,-3.995522647653497e-17,0.2735593931521046
1.2315506032928256,-2.5494877518127946e-17,-4.000256160503623e-17,0.2594655348634743
1.3049019780144024,-2.5535814264194887e-17,-4.0043626965676134e-17,0.2459741600591384
1.3826221737646558,-2.5571190043088036e-17,-4.007904730029232e-17,0.23307816112646523
1.4649713983072858,-2.560161871565275e-17,-4.0109404737556364e-17,0.22076736791981358
1.5522253574270475,-2.5627659237287796e-17,-4.0135238253990934e-17,0.20902909249106086
1.6446761779946637,-2.5649818377454564e-17,-4.015704403277074e-17,0.19784862197641268
1.7426333860096501,-2.5668553812596656e-17,-4.017527652059758e-17,0.18720965840378206
1.8464249428955437,-2.568427743578066e-17,-4.019035000771436e-17,0.1770947062102787
1.956398343517064,-2.5697358758894143e-17,-4.020264058162238e-17,0.16748540970132939
2.0729217795953714,-2.5708128311551285e-17,-4.0212488329738124e-17,0.15836284364461284
2.1963853724165463,-2.5716880964906093e-17,-4.0220199689083254e-17,0.14970776077114875
2.327202478960409,-2.5723879128558386e-17,-4.0226049861593287e-17,0.14150080024027395
2.465811075822603,-2.5729355785012278e-17,-4.0230285231521327e-17,0.13372266119025722
2.6126752255633283,-2.573351733914138e-17,-4.023312573668793e-17,0.12635424540446974
2.768286630392066,-2.573654627028359e-17,-4.023476715811459e-17,0.1193767729247551
2.9331662783900447,-2.5738603582375956e-17,-4.023538330308897e-17,0.11277187417788881
3.107866187782013,-2.5739831053357477e-17,-4.0235128065200335e-17,0.10652166187866004
3.2929712550971506,-2.574035328928451e-17,-4.023413735162139e-17,0.10060878565476836
3.489101213406773,-2.574027959153961e-17,-4.023253087316125e-17,0.09501647202169448
3.696912707195027,-2.573970564744335e-17,-4.023041379661756e-17,0.08972855202968974
3.9171014908092596,-2.5738715055728136e-17,-4.022787826193406e-17,0.08472947861744137
4.150404757850476,-2.5737380698890053e-17,-4.022500476881691e-17,0.08000433544173528
4.39760360930272,-2.5735765974551753e-17,-4.0221863438945064e-17,0.0755388387115107
4.659525668664681,-2.5733925897766762e-17,-4.021851516086713e-17,0.07131933333852385
4.937047852839003,-2.5731908085769463e-17,-4.021501262522735e-17,0.06733278452482785
5.231099308056262,-2.5729753636099402e-17,-4.0211401258201674e-17,0.06356676573818222
5.542664520663106,-2.5727497908360327e-17,-4.020772006103103e-17,0.06000944387868029
5.872786613189481,-2.572517121915659e-17,-4.020400236337414e-17,0.05664956231146765
6.22257083673023,-2.5722799459014133e-17,-4.020027649791774e-17,0.05347642232949632
6.593188271333546,-2.572040463936282e-17,-4.019656640331568e-17,0.05047986351491456
6.985879746785248,-2.5718005376948186e-17,-4.019289216211179e-17,0.047650243386114094
7.401959996915643,-2.571561732236403e-17,-4.01892704798562e-17,0.04497841664795203
7.84282206133768,-2.5713253538760105e-17,-4.018571511116993e-17,0.042455714303679094
8.309941949353393,-2.5710924836184916e-17,-4.018223723805962e-17,0.040073922837238596
8.804883581643463,-2.5708640066474287e-17,-4.017884580534325e-17,0.03782526363259767
9.329304026284683,-2.5706406383091857e-17,-4.017554781762446e-17,0.035702372761524846
9.884959046625584,-2.5704229469866835e-17,-4.017234860185212e-17,0.03369828124176195
10.473708979594498,-2.570211374215561e-17,-4.016925203912588e-17,0.03180639584300283
11.097524964120721,-2.570006252357451e-17,-4.016626076905771e-17,0.030020480497747415
11.758495540521569,-2.569807820110889e-17,-4.016337636967612e-17,0.028334638357309545
12.458833642950081,-2.5696162361095737e-17,-4.0160599515561484e-17,0.026743294519471026
13.200884008314182,-2.56943159083006e-17,-4.0157930116628246e-17,0.025241179443020616
13.987131026472387,-2.5692539170061946e-17,-4.0155367439721226e-17,0.023823313055293123
14.820207057988586,-2.5690831987254647e-17,-4.0152910214967015e-17,0.02248498955148594
15.702901247293775,-2.5689193793626567e-17,-4.0150556728616784e-17,0.021221762878686493
16.63816886076129,-2.5687623684885788e-17,-4.014830490393157e-17,0.020029432892945752
17.62914118095948,-2.5686120478759126e-17,-4.014615237149415e-17,0.018904032174170544
18.67913599020783,-2.5684682767102676e-17,-4.0144096530181434e-17,0.01784181348090342
